id	product_id	track_number	name	composer	arranger	source_id	is_original
020330	0203	30	珍客	U2			1
020331	0203	31	紅夜	U2			1
020332	0203	32	戦迅	U2			1
020333	0203	33	禍機	U2			1
020334	0203	34	砕月	U2			1
020401	0204	1	永夜抄　～ Eastern Night.	ZUN			1
020402	0204	2	幻視の夜　～ Ghostly Eyes	ZUN			1
020403	0204	3	蠢々秋月　～ Mooned Insect	ZUN			1
020404	0204	4	夜雀の歌声　～ Night Bird	ZUN			1
020405	0204	5	もう歌しか聞こえない	ZUN			1
020406	0204	6	懐かしき東方の血　～ Old World	ZUN			1
020407	0204	7	プレインエイジア	ZUN			1
020408	0204	8	永夜の報い　～ Imperishable Night.	ZUN			1
020409	0204	9	少女綺想曲　～ Dream Battle	ZUN			1
020410	0204	10	恋色マスタースパーク	ZUN			1
020411	0204	11	シンデレラケージ　～ Kagome-Kagome	ZUN			1
020412	0204	12	狂気の瞳　～ Invisible Full Moon	ZUN			1
020413	0204	13	ヴォヤージュ1969	ZUN			1
020414	0204	14	千年幻想郷　～ History of the Moon	ZUN			1
020415	0204	15	竹取飛翔　～ Lunatic Princess	ZUN			1
020416	0204	16	ヴォヤージュ1970	ZUN			1
020417	0204	17	エクステンドアッシュ　～ 蓬莱人	ZUN			1
020418	0204	18	月まで届け、不死の煙	ZUN			1
020419	0204	19	月見草	ZUN			1
020420	0204	20	Eternal Dream　～ 幽玄の槭樹	ZUN			1
020421	0204	21	東方妖怪小町	ZUN			1
020501	0205	1	花映塚　～ Higan Retour	ZUN			1
020502	0205	2	春色小径　～ Colorful Path	ZUN			1
020503	0205	3	オリエンタルダークフライト	ZUN			1
020504	0205	4	フラワリングナイト	ZUN			1
020505	0205	5	東方妖々夢　～ Ancient Temple	ZUN		020210	0
020506	0205	6	狂気の瞳　～ Invisible Full Moon	ZUN		020412	0
020507	0205	7	おてんば恋娘の冒険	ZUN			1
020508	0205	8	幽霊楽団　～ Phantom Ensemble	ZUN		020209	0
020509	0205	9	もう歌しか聞こえない　～ Flower Mix	ZUN			1
020510	0205	10	お宇佐さまの素い幡	ZUN			1
020511	0205	11	風神少女　 (Short Version)	ZUN			1
020512	0205	12	ポイズンボディ　～ Forsaken Doll	ZUN			1
020513	0205	13	今昔幻想郷　～ Flower Land	ZUN			1
020514	0205	14	彼岸帰航　～ Riverside View	ZUN			1
020515	0205	15	六十年目の東方裁判　～ Fate of Sixty Years	ZUN			1
020516	0205	16	花の映る塚	ZUN			1
020517	0205	17	此岸の塚	ZUN			1
020518	0205	18	花は幻想のままに	ZUN			1
020519	0205	19	魂の花　～ Another Dream...	ZUN			1
020601	0206	1	天狗の手帖　～ Mysterious Note	ZUN			1
020602	0206	2	風の循環　～ Wind Tour	ZUN			1
020603	0206	3	天狗が見ている　～ Black Eyes	ZUN			1
020604	0206	4	東の国の眠らない夜	ZUN			1
020605	0206	5	レトロスペクティブ京都	ZUN			1
020606	0206	6	風神少女	ZUN			1
020701	0207	1	封印されし神々	ZUN			1
020702	0207	2	人恋し神様　～ Romantic Fall	ZUN			1
020703	0207	3	稲田姫様に叱られるから	ZUN			1
020704	0207	4	厄神様の通り道　～ Dark Road	ZUN			1
020705	0207	5	運命のダークサイド	ZUN			1
020706	0207	6	神々が恋した幻想郷	ZUN			1
020707	0207	7	芥川龍之介の河童　～ Candid Friend	ZUN			1
020708	0207	8	フォールオブフォール　～ 秋めく滝	ZUN			1
020709	0207	9	妖怪の山　～ Mysterious Mountain	ZUN			1
020710	0207	10	少女が見た日本の原風景	ZUN			1
020711	0207	11	信仰は儚き人間の為に	ZUN			1
020712	0207	12	御柱の墓場　～ Grave of Being	ZUN			1
020713	0207	13	神さびた古戦場　～ Suwa Foughten Field	ZUN			1
020714	0207	14	明日ハレの日、ケの昨日	ZUN			1
020715	0207	15	ネイティブフェイス	ZUN			1
020716	0207	16	麓の神社	ZUN			1
020717	0207	17	神は恵みの雨を降らす　～ Sylphid Dream	ZUN			1
020718	0207	18	プレイヤーズスコア	ZUN			1
020801	0208	1	緋想天	あきやまうに			1
020802	0208	2	日常坐臥	あきやまうに			1
020803	0208	3	地の色は黄色	あきやまうに			1
020804	0208	4	甲論乙駁	あきやまうに			1
020805	0208	5	風光明媚	あきやまうに			1
020806	0208	6	香る樹葉花	あきやまうに			1
020807	0208	7	踊る水飛沫	あきやまうに			1
020808	0208	8	以魚駆蠅	あきやまうに			1
020809	0208	9	放縦不羈	あきやまうに			1
020810	0208	10	嘲りの遊戯	あきやまうに			1
020811	0208	11	冷吟閑酔	あきやまうに			1
020812	0208	12	雲外蒼天	あきやまうに			1
020813	0208	13	黒い海に紅く　～ Legendary Fish	ZUN			1
020814	0208	14	天衣無縫	あきやまうに			1
020815	0208	15	有頂天変　～ Wonderful Heaven	ZUN			1
020816	0208	16	幼心地の有頂天	ZUN			1
020817	0208	17	暮色蒼然	あきやまうに			1
020818	0208	18	東方緋想天	あきやまうに			1
020819	0208	19	東方妖恋談	ZUN	あきやまうに	010303	0
020820	0208	20	星の器　～ Casket of Star	ZUN	あきやまうに	010411	0
020821	0208	21	フラワリングナイト	ZUN	あきやまうに	020504	0
020822	0208	22	ブクレシュティの人形師	ZUN	あきやまうに	020206	0
020823	0208	23	広有射怪鳥事 ～ Till When？	ZUN	あきやまうに	020211	0
020824	0208	24	ラクトガール　～ 少女密室	ZUN	あきやまうに	020109	0
020825	0208	25	幽雅に咲かせ、墨染の桜　～ Border of Life	ZUN	あきやまうに	020213	0
020826	0208	26	亡き王女の為のセプテット	ZUN	あきやまうに	020113	0
020827	0208	27	夜が降りてくる	ZUN	あきやまうに		1
020828	0208	28	砕月	U2		020334	0
020829	0208	29	狂気の瞳　～ Invisible Full Moon	ZUN	あきやまうに	020412	0
020830	0208	30	風神少女	ZUN	あきやまうに	020606	0
020831	0208	31	彼岸帰航　～ Riverside View	ZUN	あきやまうに	020514	0
020901	0209	1	地霊達の起床	ZUN			1
020902	0209	2	暗闇の風穴	ZUN			1
020903	0209	3	封じられた妖怪　～ Lost Place	ZUN			1
020904	0209	4	渡る者の途絶えた橋	ZUN			1
020905	0209	5	緑眼のジェラシー	ZUN			1
020906	0209	6	旧地獄街道を行く	ZUN			1
020907	0209	7	華のさかづき大江山	ZUN			1
020908	0209	8	ハートフェルトファンシー	ZUN			1
020909	0209	9	少女さとり　～ 3rd eye	ZUN			1
020910	0209	10	廃獄ララバイ	ZUN			1
020911	0209	11	死体旅行　～ Be of good cheer!	ZUN			1
020912	0209	12	業火マントル	ZUN			1
020913	0209	13	霊知の太陽信仰　～ Nuclear Fusion	ZUN			1
020914	0209	14	ラストリモート	ZUN			1
020915	0209	15	ハルトマンの妖怪少女	ZUN			1
020916	0209	16	地霊達の帰宅	ZUN			1
020917	0209	17	エネルギー黎明　～ Future Dream...	ZUN			1
020918	0209	18	プレイヤーズスコア	ZUN		020718	0
021001	0210	1	青空の影	ZUN			1
021002	0210	2	春の湊に	ZUN			1
021003	0210	3	小さな小さな賢将	ZUN			1
021004	0210	4	閉ざせし雲の通い路	ZUN			1
021005	0210	5	万年置き傘にご注意を	ZUN			1
021006	0210	6	スカイルーイン	ZUN			1
021007	0210	7	時代親父とハイカラ少女	ZUN			1
021008	0210	8	幽霊客船の時空を越えた旅	ZUN			1
021009	0210	9	キャプテン・ムラサ	ZUN			1
021010	0210	10	魔界地方都市エソテリア	ZUN			1
021011	0210	11	虎柄の毘沙門天	ZUN			1
021012	0210	12	法界の火	ZUN			1
021013	0210	13	感情の摩天楼　～ Cosmic Mind	ZUN			1
021014	0210	14	夜空のユーフォーロマンス	ZUN			1
021015	0210	15	平安のエイリアン	ZUN			1
021016	0210	16	妖怪寺	ZUN			1
021017	0210	17	空の帰り道　～ Sky Dream	ZUN			1
021018	0210	18	プレイヤーズスコア	ZUN		020718	0
021101	0211	1	君はあの影を見たか	あきやまうに			1
021102	0211	2	萃夢想	あきやまうに		020301	0
021103	0211	3	伝説の巨神	あきやまうに			1
021104	0211	4	ぼくらの非想天則	あきやまうに			1
021105	0211	5	人形のある風景	あきやまうに			1
021106	0211	6	悠久の蒸気機関	あきやまうに			1
021107	0211	7	信仰は儚き人間の為に	ZUN	あきやまうに	020711	0
021108	0211	8	おてんば恋娘	ZUN	あきやまうに	020105	0
021109	0211	9	上海紅茶館　～ Chinese Tea	ZUN	あきやまうに	020106	0
021110	0211	10	霊知の太陽信仰　～ Nuclear Fusion	ZUN	あきやまうに	020913	0
021111	0211	11	明日ハレの日、ケの昨日	ZUN	あきやまうに	020714	0
021112	0211	12	アンノウンＸ　～ Unfound Adventure	ZUN			1
021113	0211	13	空に浮かぶ物体Ｘ	ZUN			1
021114	0211	14	二色蓮花蝶　～ Ancients	ZUN	あきやまうに	060218	0
021115	0211	15	恋色マジック	ZUN	あきやまうに	010209	0
021116	0211	16	the Grimoire of Alice	ZUN	あきやまうに	010517	0
021117	0211	17	ヴワル魔法図書館	ZUN	あきやまうに	020108	0
021118	0211	18	東方妖恋談	ZUN	あきやまうに	010303	0
021201	0212	1	ニュースハウンド	ZUN			1
021202	0212	2	あなたの町の怪事件	ZUN			1
021203	0212	3	妖怪モダンコロニー	ZUN			1
021204	0212	4	ネメシスの要塞	ZUN			1
021205	0212	5	無間の鐘　～ Infinite Nightmare	ZUN			1
021206	0212	6	妖怪の山　～ Mysterious Mountain	ZUN		020709	0
021207	0212	7	曲名不明	ZUN			1
021301	0213	1	春の氷精	ZUN			1
021302	0213	2	可愛い大戦争のリフレーン	ZUN			1
021303	0213	3	いたずらに命をかけて	ZUN			1
021304	0213	4	年中夢中の好奇心	ZUN			1
021305	0213	5	真夜中のフェアリーダンス	ZUN			1
021306	0213	6	妖精大戦争　～ Fairy Wars	ZUN			1
021307	0213	7	ルーズレイン	ZUN			1
021308	0213	8	メイガスナイト	ZUN			1
021309	0213	9	春の氷精　- 静 -	ZUN			1
021310	0213	10	プレイヤーズスコア	ZUN		020718	0
021401	0214	1	欲深き霊魂	ZUN			1
021402	0214	2	死霊の夜桜	ZUN			1
021403	0214	3	ゴーストリード	ZUN			1
021404	0214	4	妖怪寺へようこそ	ZUN			1
021405	0214	5	門前の妖怪小娘	ZUN			1
021406	0214	6	素敵な墓場で暮しましょ	ZUN			1
021407	0214	7	リジッドパラダイス	ZUN			1
021408	0214	8	デザイアドライブ	ZUN			1
021409	0214	9	古きユアンシェン	ZUN			1
021410	0214	10	夢殿大祀廟	ZUN			1
021411	0214	11	大神神話伝	ZUN			1
021412	0214	12	小さな欲望の星空	ZUN			1
021413	0214	13	聖徳伝説　～ True Administrator	ZUN			1
021414	0214	14	妖怪裏参道	ZUN			1
021415	0214	15	佐渡の二ッ岩	ZUN			1
021416	0214	16	神社の新しい風	ZUN			1
021417	0214	17	デザイアドリーム	ZUN			1
021418	0214	18	プレイヤーズスコア	ZUN		020718	0
021501	0215	1	塵界不変のペシミズム～心綺楼囃子	あきやまうに			1
021502	0215	2	人気のある場所	あきやまうに			1
021503	0215	3	春色小径　～ Colorful Path	ZUN	あきやまうに	020502	0
021504	0215	4	メイガスナイト	ZUN	あきやまうに	021308	0
021505	0215	5	時代親父とハイカラ少女	ZUN	あきやまうに	021007	0
021506	0215	6	感情の摩天楼　～ Cosmic Mind	ZUN	あきやまうに	021013	0
021507	0215	7	大神神話伝	ZUN	あきやまうに	021411	0
021508	0215	8	聖徳伝説　～ True Administrator	ZUN	あきやまうに	021413	0
021509	0215	9	芥川龍之介の河童 ～ Candid Friend	ZUN	あきやまうに	020707	0
021510	0215	10	ハルトマンの妖怪少女	ZUN	あきやまうに	020915	0
021511	0215	11	人気のない場所	あきやまうに			1
021512	0215	12	佐渡の二ッ岩	ZUN	あきやまうに	021415	0
021513	0215	13	本日の一面記事	あきやまうに			1
021514	0215	14	幻想郷の二ッ岩	ZUN			1
021515	0215	15	丑三つ時の里	あきやまうに			1
021516	0215	16	亡失のエモーション	ZUN			1
021517	0215	17	暁雲	あきやまうに			1
021518	0215	18	官板黄昏新聞 (Short Version)	あきやまうに			1
021519	0215	19	心綺楼囃子 (Short Version)	あきやまうに			1
021520	0215	20	心綺楼囃子	あきやまうに			1
021521	0215	21	演者選択	あきやまうに			1
021522	0215	22	使われなかった場所	あきやまうに			1
021523	0215	23	人気爆発／博麗霊夢	ZUN	あきやまうに		1
021524	0215	24	人気爆発／霧雨魔理沙	ZUN	あきやまうに		1
021525	0215	25	人気爆発／雲居一輪＆雲山	ZUN	あきやまうに		1
021526	0215	26	人気爆発／聖白蓮	ZUN	あきやまうに		1
021527	0215	27	人気爆発／物部布都	ZUN	あきやまうに		1
021528	0215	28	人気爆発／豊聡耳神子	ZUN	あきやまうに		1
021529	0215	29	人気爆発／河城にとり	ZUN	あきやまうに		1
021530	0215	30	人気爆発／古明地こいし	ZUN	あきやまうに		1
021531	0215	31	人気爆発／二ッ岩マミゾウ	ZUN	あきやまうに		1
021532	0215	32	人気爆発／秦こころ	ZUN	あきやまうに		1
021533	0215	33	ラストワード発動	あきやまうに			1
021534	0215	34	官板黄昏新聞	あきやまうに			1
021601	0216	1	不思議なお祓い棒	ZUN			1
021602	0216	2	ミストレイク	ZUN			1
021603	0216	3	秘境のマーメイド	ZUN			1
021604	0216	4	運河を行き交う人妖	ZUN			1
021605	0216	5	柳の下のデュラハン	ZUN			1
021606	0216	6	満月の竹林	ZUN			1
021607	0216	7	孤独なウェアウルフ	ZUN			1
021608	0216	8	マジカルストーム	ZUN			1
021609	0216	9	幻想浄瑠璃	ZUN			1
021610	0216	10	空中に沈む輝針城	ZUN			1
021611	0216	11	リバースイデオロギー	ZUN			1
021612	0216	12	針小棒大の天守閣	ZUN			1
021613	0216	13	輝く針の小人族　～ Little Princess	ZUN			1
021614	0216	14	魔力の雷雲	ZUN			1
021615	0216	15	始原のビート　～ Pristine Beat	ZUN			1
021616	0216	16	小槌の魔力	ZUN			1
021617	0216	17	不思議な不思議な道具達	ZUN			1
021618	0216	18	プレイヤーズスコア	ZUN		020718	0
021701	0217	1	反則の狼煙を上げろ	ZUN			1
021702	0217	2	不可能弾幕には反則を	ZUN			1
021703	0217	3	ミッドナイトスペルカード	ZUN			1
021704	0217	4	ロマンチック逃飛行	ZUN			1
021705	0217	5	永遠の三日天下	ZUN			1
021706	0217	6	秘境のマーメイド	ZUN		021603	0
021707	0217	7	リバースイデオロギー	ZUN		021611	0
021708	0217	8	幻想浄瑠璃	ZUN		021609	0
021709	0217	9	妖怪の山　～ Mysterious Mountain	ZUN		020709	0
021710	0217	10	プレイヤーズスコア	ZUN		020718	0
021801	0218	1	二色蓮花蝶 ～ Red and White	ZUN	コンプ	030102	0
021802	0218	2	恋色マスタースパーク	ZUN	oiko	020410	0
021803	0218	3	時代親父とハイカラ少女	ZUN	しゃばだば	021007	0
021804	0218	4	感情の摩天楼　～ Cosmic Mind	ZUN	NYO	021013	0
021805	0218	5	大神神話伝	ZUN	鯛の小骨	021411	0
021806	0218	6	聖徳伝説　～ True Administrator	ZUN	鷹	021413	0
021807	0218	7	芥川龍之介の河童　～ Candid Friend	ZUN	ゆうゆ	020707	0
021808	0218	8	ハルトマンの妖怪少女	ZUN	岸田	020915	0
021809	0218	9	幻想郷の二ッ岩	ZUN	秀三	021514	0
021810	0218	10	亡失のエモーション	ZUN	どぶウサギ	021516	0
021811	0218	11	月まで届け、不死の煙	ZUN	ziki_7	020418	0
021812	0218	12	輝く針の小人族　～ Little Princess	ZUN	あきやまうに	021613	0
021813	0218	13	心揺さぶる都市伝説	あきやまうに			1
021814	0218	14	幻想郷ふしぎ発見	あきやまうに			1
021815	0218	15	ボールのある日常	あきやまうに			1
021816	0218	16	顕現した伝承の形	あきやまうに			1
021817	0218	17	時代の風の訪れ	あきやまうに			1
021818	0218	18	価値がわからない	あきやまうに			1
021819	0218	19	可能性を信じて	あきやまうに			1
021820	0218	20	真実を知る者	あきやまうに			1
021821	0218	21	外界フォークロア	あきやまうに			1
021822	0218	22	各々の結末	あきやまうに			1
021823	0218	23	明かされる深秘	あきやまうに			1
021824	0218	24	オカルトアラカルト	あきやまうに			1
021825	0218	25	七玉蒐集ショウダウン	あきやまうに			1
021826	0218	26	公正なる奪い合い	あきやまうに			1
021827	0218	27	対蹠地の鐘	あきやまうに			1
021828	0218	28	竹林インフレイム	あきやまうに			1
021829	0218	29	華狭間のバトルフィールド	ZUN			1
021830	0218	30	ラストオカルティズム　～ 現し世の秘術師	ZUN			1
021901	0219	1	宇宙巫女現る	ZUN			1
021902	0219	2	忘れがたき、よすがの緑	ZUN			1
021903	0219	3	兎は舞い降りた	ZUN			1
021904	0219	4	湖は浄めの月光を映して	ZUN			1
021905	0219	5	九月のパンプキン	ZUN			1
021906	0219	6	宇宙を飛ぶ不思議な巫女	ZUN			1
021907	0219	7	永遠の春夢	ZUN			1
021908	0219	8	凍り付いた永遠の都	ZUN			1
021909	0219	9	逆転するホイールオブフォーチュン	ZUN			1
021910	0219	10	遥か３８万キロのボヤージュ	ZUN			1
021911	0219	11	星条旗のピエロ	ZUN			1
021912	0219	12	故郷の星が映る海	ZUN			1
021913	0219	13	ピュアヒューリーズ　～ 心の在処	ZUN			1
021914	0219	14	見た事も無い悪夢の世界	ZUN			1
021915	0219	15	パンデモニックプラネット	ZUN			1
021916	0219	16	神社から見える月	ZUN			1
021917	0219	17	宇宙巫女帰還する	ZUN			1
021918	0219	18	プレイヤーズスコア	ZUN		020718	0
022001	0220	1	異変の種子	あきやまうに			1
022002	0220	2	憑依投合	あきやまうに			1
022003	0220	3	連帯責人	あきやまうに			1
022004	0220	4	合縁奇縁	あきやまうに			1
022005	0220	5	異心同体	あきやまうに			1
022006	0220	6	壮言大語	あきやまうに			1
022007	0220	7	知略縦横	あきやまうに			1
022008	0220	8	意気揚々	あきやまうに			1
022009	0220	9	開演間近	あきやまうに			1
022010	0220	10	天衣無縫　～ Yellow Lily	あきやまうに			1
022011	0220	11	地の色は黄色　～ Primrose	あきやまうに			1
022012	0220	12	マッシュルーム・ワルツ	あきやまうに			1
022013	0220	13	聖輦船空を往く	あきやまうに			1
022014	0220	14	法力の下の平等	あきやまうに			1
022015	0220	15	恒常不変の参廟祀	あきやまうに			1
